Date,Real_IV,Pred_IV_LoRA,Pred_IV_Chronos
2020-02-14,0.3372,0.432,0.4202
2020-02-18,0.3576,0.452,0.334
2020-02-19,0.4012,0.452,0.3538
2020-02-20,0.4047,0.452,0.3953
2020-02-21,0.4367,0.452,0.401
2020-02-24,0.4878,0.452,0.4327
2020-02-25,0.5261,0.452,0.4726
2020-02-26,0.5007,0.452,0.5234
2020-02-27,0.6137,0.452,0.4942
2020-02-28,0.6325,0.467,0.595
2020-03-02,0.5377,0.452,0.6417
2020-03-03,0.5815,0.452,0.5354
2020-03-04,0.5035,0.467,0.5835
2020-03-05,0.6109,0.467,0.5029
2020-03-06,0.6234,0.467,0.5912
2020-03-09,0.7445,0.467,0.6158
2020-03-10,0.6306,0.467,0.7076
2020-03-11,0.7181,0.448,0.5995
2020-03-12,0.8696,0.448,0.6626
2020-03-13,0.6735,0.467,0.8641
2020-03-16,0.878,0.467,0.6288
2020-03-17,0.8837,0.467,0.8158
2020-03-18,0.8484,0.467,0.8359
2020-03-19,0.9113,0.467,0.8098
2020-03-20,0.8594,0.467,0.889
2020-03-23,0.7027,0.467,0.8659
2020-03-24,0.6529,0.467,0.6879
2020-03-25,0.8227,0.461,0.6752
2020-03-26,0.7244,0.461,0.7808
2020-03-27,0.7788,0.461,0.7064
2020-03-30,0.6631,0.461,0.7528
2020-03-31,0.6203,0.552,0.689
2020-04-01,0.7259,0.552,0.6255
2020-04-02,0.618,0.552,0.6851
2020-04-03,0.6135,0.552,0.6425
2020-04-06,0.5343,0.552,0.5928
2020-04-07,0.5859,0.552,0.574
2020-04-08,0.5433,0.552,0.6312
2020-04-09,0.5633,0.552,0.5769
2020-04-13,0.5509,0.552,0.6259
2020-04-14,0.5124,0.552,0.5883
2020-04-15,0.5411,0.552,0.5373
2020-04-16,0.557,0.552,0.5363
2020-04-17,0.5484,0.552,0.5527
2020-04-20,0.6101,0.552,0.5511
2020-04-21,0.6432,0.552,0.5757
2020-04-22,0.5729,0.552,0.6675
2020-04-23,0.5574,0.552,0.6209
2020-04-24,0.5119,0.552,0.552
2020-04-27,0.5137,0.552,0.5373
2020-04-28,0.5012,0.552,0.5186
2020-04-29,0.4835,0.552,0.5181
2020-04-30,0.5081,0.552,0.4935
2020-05-01,0.5376,0.572,0.5118
2020-05-04,0.5352,0.572,0.5458
2020-05-05,0.5144,0.572,0.5491
2020-05-06,0.5141,0.572,0.5175
2020-05-07,0.4863,0.572,0.5177
2020-05-08,0.483,0.572,0.4867
2020-05-11,0.5002,0.572,0.4882
2020-05-12,0.5452,0.572,0.5046
2020-05-13,0.5741,0.572,0.5293
2020-05-14,0.5321,0.572,0.5479
2020-05-15,0.5367,0.572,0.5136
2020-05-18,0.5234,0.572,0.5348
2020-05-19,0.5204,0.572,0.52
2020-05-20,0.5324,0.572,0.5314
2020-05-21,0.5418,0.572,0.5335
2020-05-22,0.462,0.572,0.5492
2020-05-26,0.4516,0.475,0.495
2020-05-27,0.4475,0.572,0.4494
2020-05-28,0.4671,0.475,0.4437
2020-05-29,0.4547,0.475,0.4723
2020-06-01,0.4433,0.475,0.4692
2020-06-02,0.4218,0.475,0.4433
2020-06-03,0.4296,0.475,0.4267
2020-06-04,0.4273,0.475,0.4318
2020-06-05,0.4165,0.475,0.4277
2020-06-08,0.4129,0.475,0.4164
2020-06-09,0.4374,0.475,0.4136
2020-06-10,0.451,0.475,0.4294
2020-06-11,0.5048,0.475,0.435
2020-06-12,0.4855,0.475,0.5142
2020-06-15,0.4626,0.475,0.4849
2020-06-16,0.4536,0.475,0.4576
2020-06-17,0.4544,0.467,0.4621
2020-06-19,0.4533,0.467,0.4566
2020-06-22,0.4248,0.467,0.4547
2020-06-23,0.4094,0.467,0.4249
2020-06-24,0.4469,0.467,0.4054
2020-06-25,0.4309,0.467,0.4418
2020-06-26,0.4532,0.452,0.428
2020-06-29,0.4286,0.452,0.4616
2020-06-30,0.4185,0.432,0.4278
2020-07-01,0.4007,0.432,0.4275
2020-07-02,0.3701,0.432,0.4005
2020-07-06,0.3991,0.432,0.3633
2020-07-07,0.4365,0.432,0.3889
2020-07-08,0.4185,0.432,0.4372
2020-07-09,0.4591,0.432,0.4294
2020-07-10,0.4676,0.432,0.4457
2020-07-13,0.5007,0.432,0.4656
2020-07-14,0.513,0.432,0.4925
2020-07-15,0.4917,0.432,0.4883
2020-07-16,0.4812,0.432,0.4868
2020-07-17,0.4695,0.432,0.4792
2020-07-20,0.4681,0.432,0.4676
2020-07-21,0.4669,0.432,0.4526
2020-07-22,0.4712,0.432,0.4543
2020-07-23,0.4778,0.432,0.4728
